2026-01-21T21:21:58+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"FirstFit\random\test14.txt",280000,2.63083,2.62277,us,,,,,,9,12
"FirstFitDecreasing\random\test14.txt",235789,3.10825,3.11454,us,,,,,,9,12
"BestFit\random\test14.txt",203636,3.48378,3.45285,us,,,,,,9,12
"BestFitDecreasing\random\test14.txt",172308,4.03704,3.71791,us,,,,,,9,12
"FirstFit\random\test15.txt",112000,4.83797,4.7433,us,,,,,,14,25
"FirstFitDecreasing\random\test15.txt",112000,6.28133,6.2779,us,,,,,,13,25
"BestFit\random\test15.txt",112000,7.54328,7.39397,us,,,,,,14,25
"BestFitDecreasing\random\test15.txt",74667,9.24785,8.78902,us,,,,,,13,25
"FirstFit\random\test16.txt",100000,5.26448,5.3125,us,,,,,,13,26
"FirstFitDecreasing\random\test16.txt",112000,6.47198,6.13839,us,,,,,,13,26
"BestFit\random\test16.txt",89600,7.6507,7.4986,us,,,,,,13,26
"BestFitDecreasing\random\test16.txt",74667,9.34302,9.41681,us,,,,,,13,26
"FirstFit\random\test17.txt",172308,4.1388,4.17131,us,,,,,,13,22
"FirstFitDecreasing\random\test17.txt",100000,5.38793,5.46875,us,,,,,,12,22
"BestFit\random\test17.txt",112000,6.07489,6.13839,us,,,,,,12,22
"BestFitDecreasing\random\test17.txt",89600,8.11205,7.84738,us,,,,,,12,22
"FirstFit\random\test18.txt",213333,3.53452,3.58887,us,,,,,,9,18
"FirstFitDecreasing\random\test18.txt",160000,4.44139,4.49219,us,,,,,,9,18
"BestFit\random\test18.txt",144516,4.7756,4.75726,us,,,,,,9,18
"BestFitDecreasing\random\test18.txt",112000,6.14737,6.13839,us,,,,,,9,18
"FirstFit\random\test19.txt",248889,2.85426,2.82505,us,,,,,,9,13
"FirstFitDecreasing\random\test19.txt",203636,3.3952,3.37612,us,,,,,,9,13
"BestFit\random\test19.txt",194783,3.68207,3.69,us,,,,,,9,13
"BestFitDecreasing\random\test19.txt",172308,4.22333,4.26199,us,,,,,,9,13
"FirstFit\random\test20.txt",172308,4.0539,4.08063,us,,,,,,13,22
"FirstFitDecreasing\random\test20.txt",100000,5.38738,5.46875,us,,,,,,12,22
"BestFit\random\test20.txt",112000,6.36797,6.41741,us,,,,,,13,22
"BestFitDecreasing\random\test20.txt",89600,8.12402,7.84738,us,,,,,,12,22
"FirstFit\random\test21.txt",100000,5.47433,5.3125,us,,,,,,16,25
"FirstFitDecreasing\random\test21.txt",112000,6.35655,6.13839,us,,,,,,16,25
