2026-01-21T20:17:36+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"FirstFitDecreasing\near-half\test24.txt",74667,9.6052,8.99829,us,,,,,,10,16
"BestFit\near-half\test24.txt",64000,8.82033,8.30078,us,,,,,,10,16
"BestFitDecreasing\near-half\test24.txt",100000,12.1204,11.4062,us,,,,,,10,16
"Backtracking_Unsoreted_no_prune\near-half\test24.txt",50,13034.1,10312.5,us,,,,,,10,16
"Backtracking_Unsoreted_better_prune\near-half\test24.txt",1000,670.534,656.25,us,,,,,,10,16
"Backtracking_Unsoreted_best_prune\near-half\test24.txt",1120,681.291,613.839,us,,,,,,10,16
"Backtracking_Soreted_asc_no_prune\near-half\test24.txt",7,99910.5,87053.6,us,,,,,,10,16
"Backtracking_Soreted_asc_better_prune\near-half\test24.txt",10,64454.5,60937.5,us,,,,,,10,16
"Backtracking_Soreted_asc_best_prune\near-half\test24.txt",11,62944.6,56818.2,us,,,,,,10,16
"Backtracking_Soreted_desc_no_prune\near-half\test24.txt",112,5440.56,4882.81,us,,,,,,10,16
"Backtracking_Soreted_desc_better_prune\near-half\test24.txt",21333,31.604,29.2973,us,,,,,,10,16
"Backtracking_Soreted_desc_best_prune\near-half\test24.txt",23579,34.4735,31.808,us,,,,,,10,16
"FirstFit\random\test0.txt",49778,14.039,13.4974,us,,,,,,15,27
"FirstFitDecreasing\random\test0.txt",40727,16.0639,15.7297,us,,,,,,13,27
"BestFit\random\test0.txt",44800,17.3768,16.3923,us,,,,,,15,27
"BestFitDecreasing\random\test0.txt",29867,21.2681,20.403,us,,,,,,13,27
"FirstFit\random\test1.txt",49778,13.2031,11.3002,us,,,,,,18,28
"FirstFitDecreasing\random\test1.txt",40727,17.7361,16.1134,us,,,,,,16,28
